dt,account,province,group,total_outbound_count,black_outbound_count,total_pickup_count,black_pickup_count,total_pay_count,black_pay_count
2025-12-10,meixin888,山东,31,14006,14006,16,16,0,0
2025-12-10,zhongandai666,黑龙江,未触发黑名单部分,215,0,17,0,0,0
2025-12-10,yunshenghua888,内蒙古,未触发黑名单部分,18376,0,1182,0,1,0
2025-12-10,jirong888,山东,31,9514,9514,38,38,0,0
2025-12-10,meixin888,黑龙江,31,3885,3885,11,11,0,0
2025-12-10,yunshenghua888,山东,未触发黑名单部分,203529,0,9469,0,0,0
2025-12-10,shuxunda01,上海,未触发黑名单部分,3339,0,361,0,0,0
2025-12-10,fenqile888,天津,未触发黑名单部分,213,0,4,0,0,0
2025-12-10,haofenqi888,贵州,未触发黑名单部分,8,0,1,0,0,0
2025-12-10,huirong888,云南,31,4451,4451,33,33,0,0
2025-12-10,langshun08,宁夏,未触发黑名单部分,3221,0,236,0,0,0
2025-12-10,kaishi01,湖南,未触发黑名单部分,5,0,2,0,0,0
2025-12-10,weiqianbao555,广东,31,144251,144251,291,291,0,0
2025-12-10,weiqianbao661,青海,31,1353,1353,7,7,0,0
2025-12-10,huirong888,山东,未触发黑名单部分,10074,0,776,0,0,0
2025-12-10,weiqianbao333,云南,未触发黑名单部分,37686,0,1496,0,0,0
2025-12-10,langshun08,浙江,31,3668,3668,31,31,0,0
2025-12-10,baotai10,云南,31,2086,2086,25,25,0,0
2025-12-10,miduoduo888,湖北,未触发黑名单部分,175883,0,8049,0,3,0
2025-12-10,baotai18,青海,31,1,1,0,0,0,0
2025-12-10,huirong888,安徽,31,3950,3950,12,12,0,0
2025-12-10,youqian888,天津,未触发黑名单部分,5673,0,305,0,0,0
2025-12-10,jixianghua888,贵州,未触发黑名单部分,853,0,17,0,0,0
2025-12-10,taoyirong666,黑龙江,31,1358,1358,0,0,0,0
2025-12-10,yuedaibao999,湖南,未触发黑名单部分,157915,0,10488,0,0,0
2025-12-10,baotai52,福建,未触发黑名单部分,5230,0,653,0,0,0
2025-12-10,taoyirong999,河南,31,27386,27386,44,44,0,0
2025-12-10,zhongandai666,湖南,未触发黑名单部分,8043,0,631,0,0,0
2025-12-10,youqian888,甘肃,31,503,503,3,3,0,0
2025-12-10,YSH,内蒙古,31,155,155,1,1,0,0
2025-12-10,haozhouzhuan888,吉林,未触发黑名单部分,61552,0,1350,0,0,0
2025-12-10,haofenqi888,内蒙古,31,5219,5219,33,33,0,0
2025-12-10,yuedaibao666,四川,31,3836,3836,24,24,0,0
2025-12-10,weiqianbao555,内蒙古,31,9631,9631,50,50,0,0
2025-12-10,,河南,31,0,0,0,0,0,0
2025-12-10,weiqianbao888,湖南,31,22485,22485,100,100,0,0
2025-12-10,haofenqi888,河南,未触发黑名单部分,68450,0,1302,0,0,0
2025-12-10,xiaohuifu666,重庆,未触发黑名单部分,3959,0,519,0,0,0
2025-12-10,zhongandai666,云南,未触发黑名单部分,1947,0,211,0,0,0
2025-12-10,haihua888,河南,31,4,4,0,0,0,0
2025-12-10,weiqianbao333,辽宁,31,6032,6032,19,19,0,0
2025-12-10,jiuwuhua888,宁夏,31,1752,1752,10,10,0,0
2025-12-10,youqian888,新疆,未触发黑名单部分,0,0,0,0,0,0
2025-12-10,jixianghua888,重庆,31,1079,1079,5,5,0,0
2025-12-10,yunshenghua888,广西,未触发黑名单部分,52,0,5,0,0,0
2025-12-10,,河北,31,0,0,0,0,0,0
2025-12-10,zhongandai999,浙江,未触发黑名单部分,187882,0,22573,0,2,0
2025-12-10,youqian888,河南,31,5411,5411,26,26,0,0
2025-12-10,baotai18,甘肃,31,44,44,5,5,0,0
2025-12-10,taoyirong666,天津,未触发黑名单部分,2542,0,118,0,0,0
2025-12-10,weiqianbao555,陕西,未触发黑名单部分,126693,0,6149,0,0,0
2025-12-10,fenqile888,河南,31,7071,7071,19,19,0,0
2025-12-10,yuedaibao999,新疆,未触发黑名单部分,0,0,0,0,0,0
2025-12-10,baotai52,浙江,未触发黑名单部分,9214,0,1479,0,0,0
2025-12-10,meixin888,重庆,31,4420,4420,5,5,0,0
2025-12-10,zhongandai666,四川,31,2104,2104,18,18,0,0
2025-12-10,fenqile888,西藏,未触发黑名单部分,0,0,0,0,0,0
2025-12-10,baotai27,贵州,31,6862,6862,60,60,1,1
2025-12-10,huirong888,湖北,未触发黑名单部分,12224,0,695,0,1,0
2025-12-10,weiqianbao555,吉林,未触发黑名单部分,38519,0,2008,0,0,0
2025-12-10,yuedaibao666,海南,31,1725,1725,2,2,0,0
2025-12-10,YSH,山东,31,7,7,0,0,0,0
2025-12-10,baotai27,吉林,未触发黑名单部分,107349,0,9411,0,19,0
2025-12-10,baotai27,山东,未触发黑名单部分,130916,0,8534,0,14,0
2025-12-10,weiqianbao333,陕西,未触发黑名单部分,24954,0,928,0,0,0
2025-12-10,fenqile888,陕西,未触发黑名单部分,14467,0,307,0,0,0
2025-12-10,jiuwuhua888,四川,31,11475,11475,40,40,0,0
2025-12-10,jixianghua888,湖南,31,919,919,0,0,0,0
2025-12-10,,四川,未触发黑名单部分,6,0,2,0,0,0
2025-12-10,langshun06,河南,未触发黑名单部分,32035,0,2335,0,0,0
2025-12-10,yuedaibao999,甘肃,未触发黑名单部分,77064,0,5042,0,2,0
2025-12-10,haofenqi888,江西,31,4508,4508,30,30,0,0
2025-12-10,yuedaibao999,浙江,31,70868,70868,315,315,0,0
2025-12-10,huirong888,云南,未触发黑名单部分,9373,0,597,0,0,0
2025-12-10,weiqianbao333,黑龙江,31,5472,5472,17,17,0,0
2025-12-10,baotai04,宁夏,未触发黑名单部分,3,0,0,0,0,0
2025-12-10,weiqianbao333,湖北,未触发黑名单部分,25282,0,987,0,0,0
2025-12-10,langshun06,甘肃,未触发黑名单部分,13514,0,877,0,0,0
2025-12-10,weiqianbao555,山东,31,73772,73772,214,214,0,0
2025-12-10,yuedaibao666,江西,未触发黑名单部分,19616,0,1299,0,0,0
2025-12-10,taoyirong999,湖北,未触发黑名单部分,69346,0,2217,0,1,0
2025-12-10,weiqianbao555,四川,31,81009,81009,283,283,0,0
